Type	BF	DK	OMPBF	OMPDK	FROM	TO	NTHRDS
Dist	955.015	955.015	955.015	955.015	0	19	2
Time	0.00805	0.00829	0.00933	0.00932	0	19	2
Dist	955.015	955.015	955.015	955.015	0	19	3
Time	0.00836	0.00830	0.00930	0.00925	0	19	3
Dist	955.015	955.015	955.015	955.015	0	19	4
Time	0.00809	0.00815	0.00933	0.00927	0	19	4
Dist	960.484	960.484	960.484	960.484	0	20	2
Time	0.00819	0.00842	0.00942	0.00952	0	20	2
Dist	960.484	960.484	960.484	960.484	0	20	3
Time	0.00807	0.00816	0.00923	0.00932	0	20	3
Dist	960.484	960.484	960.484	960.484	0	20	4
Time	0.00803	0.00808	0.00910	0.00909	0	20	4
Dist	2713.803	2713.803	2713.803	2713.803	0	21	2
Time	0.00817	0.00792	0.00913	0.00920	0	21	2
Dist	2713.803	2713.803	2713.803	2713.803	0	21	3
Time	0.00769	0.00849	0.00878	0.00906	0	21	3
Dist	2713.803	2713.803	2713.803	2713.803	0	21	4
Time	0.00792	0.00820	0.00923	0.00920	0	21	4
Dist	1289.047	1289.047	1289.047	1289.047	0	22	2
Time	0.00873	0.00808	0.00917	0.00948	0	22	2
Dist	1289.047	1289.047	1289.047	1289.047	0	22	3
Time	0.00777	0.00820	0.00880	0.00920	0	22	3
Dist	1289.047	1289.047	1289.047	1289.047	0	22	4
Time	0.00816	0.00811	0.00933	0.00937	0	22	4
Dist	2852.657	2852.657	2852.657	2852.657	0	23	2
Time	0.00841	0.00842	0.00905	0.00913	0	23	2
Dist	2852.657	2852.657	2852.657	2852.657	0	23	3
Time	0.00808	0.00819	0.00881	0.00908	0	23	3
Dist	2852.657	2852.657	2852.657	2852.657	0	23	4
Time	0.00811	0.00798	0.00901	0.00889	0	23	4
Dist	848.200	848.200	848.200	848.200	0	24	2
Time	0.00870	0.00838	0.00915	0.00920	0	24	2
Dist	848.200	848.200	848.200	848.200	0	24	3
Time	0.00820	0.00848	0.00905	0.00909	0	24	3
Dist	848.200	848.200	848.200	848.200	0	24	4
Time	0.00824	0.00803	0.00891	0.00917	0	24	4
Dist	1024.449	1024.449	1024.449	1024.449	0	25	2
Time	0.00802	0.00826	0.00912	0.00912	0	25	2
Dist	1024.449	1024.449	1024.449	1024.449	0	25	3
Time	0.00809	0.00827	0.00916	0.00926	0	25	3
Dist	1024.449	1024.449	1024.449	1024.449	0	25	4
Time	0.00799	0.00825	0.00909	0.00913	0	25	4
Dist	1754.941	1754.941	1754.941	1754.941	0	26	2
Time	0.00827	0.00832	0.00932	0.00940	0	26	2
Dist	1754.941	1754.941	1754.941	1754.941	0	26	3
Time	0.00827	0.00848	0.00947	0.00936	0	26	3
Dist	1754.941	1754.941	1754.941	1754.941	0	26	4
Time	0.00821	0.00840	0.00917	0.00902	0	26	4
Dist	997.994	997.994	997.994	997.994	0	27	2
Time	0.00819	0.00842	0.00924	0.00932	0	27	2
Dist	997.994	997.994	997.994	997.994	0	27	3
Time	0.00800	0.00843	0.00905	0.00913	0	27	3
Dist	997.994	997.994	997.994	997.994	0	27	4
Time	0.00802	0.00821	0.00930	0.00922	0	27	4
Dist	1924.187	1924.187	1924.187	1924.187	0	28	2
Time	0.00878	0.00831	0.00917	0.00919	0	28	2
Dist	1924.187	1924.187	1924.187	1924.187	0	28	3
Time	0.00841	0.00835	0.00917	0.00908	0	28	3
Dist	1924.187	1924.187	1924.187	1924.187	0	28	4
Time	0.00779	0.00819	0.00894	0.00912	0	28	4
Dist	2362.065	2362.065	2362.065	2362.065	0	29	2
Time	0.00832	0.00826	0.00906	0.00943	0	29	2
Dist	2362.065	2362.065	2362.065	2362.065	0	29	3
Time	0.00807	0.00766	0.00909	0.00892	0	29	3
Dist	2362.065	2362.065	2362.065	2362.065	0	29	4
Time	0.00835	0.00807	0.00903	0.00903	0	29	4
Dist	2057.034	2057.034	2057.034	2057.034	0	30	2
Time	0.00816	0.00811	0.00900	0.00918	0	30	2
Dist	2057.034	2057.034	2057.034	2057.034	0	30	3
Time	0.00816	0.00859	0.00916	0.00935	0	30	3
Dist	2057.034	2057.034	2057.034	2057.034	0	30	4
Time	0.00759	0.00805	0.00897	0.00932	0	30	4
Dist	2016.034	2016.034	2016.034	2016.034	0	31	2
Time	0.00820	0.00824	0.00900	0.00887	0	31	2
Dist	2016.034	2016.034	2016.034	2016.034	0	31	3
Time	0.00790	0.00818	0.00903	0.00909	0	31	3
Dist	2016.034	2016.034	2016.034	2016.034	0	31	4
Time	0.00817	0.00879	0.00893	0.00978	0	31	4
Dist	2581.964	2581.964	2581.964	2581.964	0	32	2
Time	0.00832	0.00817	0.00888	0.00928	0	32	2
Dist	2581.964	2581.964	2581.964	2581.964	0	32	3
Time	0.00788	0.00769	0.00887	0.00895	0	32	3
Dist	2581.964	2581.964	2581.964	2581.964	0	32	4
Time	0.00790	0.00785	0.00912	0.00917	0	32	4
Dist	2832.939	2832.939	2832.939	2832.939	0	33	2
Time	0.00845	0.00811	0.00908	0.00926	0	33	2
Dist	2832.939	2832.939	2832.939	2832.939	0	33	3
Time	0.00801	0.00794	0.00888	0.00902	0	33	3
Dist	2832.939	2832.939	2832.939	2832.939	0	33	4
Time	0.00790	0.00784	0.00857	0.00910	0	33	4
Dist	2258.185	2258.185	2258.185	2258.185	0	34	2
Time	0.00844	0.00798	0.00897	0.00916	0	34	2
Dist	2258.185	2258.185	2258.185	2258.185	0	34	3
Time	0.00798	0.00768	0.00869	0.00892	0	34	3
Dist	2258.185	2258.185	2258.185	2258.185	0	34	4
Time	0.00807	0.00818	0.00892	0.00910	0	34	4
Dist	1049.901	1049.901	1049.901	1049.901	0	35	2
Time	0.00807	0.00797	0.00894	0.00922	0	35	2
Dist	1049.901	1049.901	1049.901	1049.901	0	35	3
Time	0.00822	0.00819	0.00924	0.00924	0	35	3
Dist	1049.901	1049.901	1049.901	1049.901	0	35	4
Time	0.00823	0.00840	0.00941	0.00925	0	35	4
Dist	2555.869	2555.869	2555.869	2555.869	0	36	2
Time	0.00795	0.00743	0.00869	0.00904	0	36	2
Dist	2555.869	2555.869	2555.869	2555.869	0	36	3
Time	0.00792	0.00767	0.00870	0.00887	0	36	3
Dist	2555.869	2555.869	2555.869	2555.869	0	36	4
Time	0.00762	0.00854	0.00929	0.00944	0	36	4
Dist	2288.045	2288.045	2288.045	2288.045	0	37	2
Time	0.00821	0.00771	0.00871	0.00944	0	37	2
Dist	2288.045	2288.045	2288.045	2288.045	0	37	3
Time	0.00826	0.00797	0.00914	0.00936	0	37	3
Dist	2288.045	2288.045	2288.045	2288.045	0	37	4
Time	0.00763	0.00796	0.00893	0.00928	0	37	4
Dist	1419.135	1419.135	1419.135	1419.135	0	38	2
Time	0.00785	0.00806	0.00897	0.00912	0	38	2
Dist	1419.135	1419.135	1419.135	1419.135	0	38	3
Time	0.00786	0.00761	0.00906	0.00913	0	38	3
Dist	1419.135	1419.135	1419.135	1419.135	0	38	4
Time	0.00780	0.00824	0.00884	0.00923	0	38	4
Dist	1336.720	1336.720	1336.720	1336.720	0	39	2
Time	0.00808	0.00785	0.00915	0.00948	0	39	2
Dist	1336.720	1336.720	1336.720	1336.720	0	39	3
Time	0.00870	0.00833	0.00942	0.00929	0	39	3
Dist	1336.720	1336.720	1336.720	1336.720	0	39	4
Time	0.00815	0.00811	0.00933	0.00927	0	39	4
Dist	2479.984	2479.984	2479.984	2479.984	0	40	2
Time	0.00798	0.00833	0.00914	0.00958	0	40	2
Dist	2479.984	2479.984	2479.984	2479.984	0	40	3
Time	0.00803	0.00844	0.00919	0.00917	0	40	3
Dist	2479.984	2479.984	2479.984	2479.984	0	40	4
Time	0.00782	0.00829	0.00923	0.00934	0	40	4
Dist	1463.624	1463.624	1463.624	1463.624	0	41	2
Time	0.00947	0.00850	0.00923	0.00989	0	41	2
Dist	1463.624	1463.624	1463.624	1463.624	0	41	3
Time	0.00819	0.00795	0.00898	0.00908	0	41	3
Dist	1463.624	1463.624	1463.624	1463.624	0	41	4
Time	0.00763	0.00817	0.00868	0.00898	0	41	4
Dist	1463.435	1463.435	1463.435	1463.435	0	42	2
Time	0.00883	0.00812	0.00903	0.00956	0	42	2
Dist	1463.435	1463.435	1463.435	1463.435	0	42	3
Time	0.00841	0.00779	0.00908	0.00931	0	42	3
Dist	1463.435	1463.435	1463.435	1463.435	0	42	4
Time	0.00799	0.00836	0.00920	0.00935	0	42	4
Dist	1459.037	1459.037	1459.037	1459.037	0	43	2
Time	0.00812	0.00829	0.00916	0.00942	0	43	2
Dist	1459.037	1459.037	1459.037	1459.037	0	43	3
Time	0.00819	0.00784	0.00878	0.00891	0	43	3
Dist	1459.037	1459.037	1459.037	1459.037	0	43	4
Time	0.00782	0.00785	0.00880	0.00925	0	43	4
Dist	1271.904	1271.904	1271.904	1271.904	0	44	2
Time	0.00802	0.00830	0.00919	0.00932	0	44	2
Dist	1271.904	1271.904	1271.904	1271.904	0	44	3
Time	0.00793	0.00816	0.00858	0.00920	0	44	3
Dist	1271.904	1271.904	1271.904	1271.904	0	44	4
Time	0.00795	0.00818	0.00907	0.00910	0	44	4
Dist	1910.011	1910.011	1910.011	1910.011	0	45	2
Time	0.00822	0.00859	0.00918	0.00933	0	45	2
Dist	1910.011	1910.011	1910.011	1910.011	0	45	3
Time	0.00810	0.00847	0.00913	0.00941	0	45	3
Dist	1910.011	1910.011	1910.011	1910.011	0	45	4
Time	0.00809	0.00826	0.00912	0.00915	0	45	4
Dist	1624.613	1624.613	1624.613	1624.613	0	46	2
Time	0.00829	0.00840	0.00918	0.00917	0	46	2
Dist	1624.613	1624.613	1624.613	1624.613	0	46	3
Time	0.00832	0.00795	0.00906	0.00924	0	46	3
Dist	1624.613	1624.613	1624.613	1624.613	0	46	4
Time	0.00790	0.00817	0.00874	0.00928	0	46	4
Dist	1819.265	1819.265	1819.265	1819.265	0	47	2
Time	0.00818	0.00848	0.00938	0.00959	0	47	2
Dist	1819.265	1819.265	1819.265	1819.265	0	47	3
Time	0.00850	0.00830	0.00898	0.00921	0	47	3
Dist	1819.265	1819.265	1819.265	1819.265	0	47	4
Time	0.00789	0.00818	0.00943	0.00936	0	47	4
Dist	2256.267	2256.267	2256.267	2256.267	0	48	2
Time	0.00779	0.00806	0.00919	0.00917	0	48	2
Dist	2256.267	2256.267	2256.267	2256.267	0	48	3
Time	0.00778	0.00780	0.00885	0.00874	0	48	3
Dist	2256.267	2256.267	2256.267	2256.267	0	48	4
Time	0.00812	0.00844	0.00913	0.00905	0	48	4
Dist	1642.490	1642.490	1642.490	1642.490	0	49	2
Time	0.00821	0.00830	0.00926	0.00903	0	49	2
Dist	1642.490	1642.490	1642.490	1642.490	0	49	3
Time	0.00768	0.00817	0.00873	0.00911	0	49	3
Dist	1642.490	1642.490	1642.490	1642.490	0	49	4
