Type	BF	DK	OMPBF	OMPDK	FROM	TO	NTHRDS
Dist	1959.234	1959.234	1959.234	1959.234	0	79	4
Time	0.00776	0.00822	0.00908	0.00941	0	79	4
Dist	773.549	773.549	773.549	773.549	0	80	2
Time	0.00785	0.00827	0.00874	0.00921	0	80	2
Dist	773.549	773.549	773.549	773.549	0	80	3
Time	0.00792	0.00790	0.00887	0.00905	0	80	3
Dist	773.549	773.549	773.549	773.549	0	80	4
Time	0.00770	0.00802	0.00947	0.00905	0	80	4
Dist	2465.722	2465.722	2465.722	2465.722	0	81	2
Time	0.00812	0.00754	0.00894	0.00924	0	81	2
Dist	2465.722	2465.722	2465.722	2465.722	0	81	3
Time	0.00778	0.00828	0.00887	0.00901	0	81	3
Dist	2465.722	2465.722	2465.722	2465.722	0	81	4
Time	0.00798	0.00851	0.00905	0.00926	0	81	4
Dist	2205.750	2205.750	2205.750	2205.750	0	82	2
Time	0.00780	0.00778	0.00861	0.00909	0	82	2
Dist	2205.750	2205.750	2205.750	2205.750	0	82	3
Time	0.00816	0.00755	0.00871	0.00913	0	82	3
Dist	2205.750	2205.750	2205.750	2205.750	0	82	4
Time	0.00781	0.00770	0.00883	0.00911	0	82	4
Dist	2020.714	2020.714	2020.714	2020.714	0	83	2
Time	0.00832	0.00815	0.00897	0.00930	0	83	2
Dist	2020.714	2020.714	2020.714	2020.714	0	83	3
Time	0.00781	0.00774	0.00874	0.00908	0	83	3
Dist	2020.714	2020.714	2020.714	2020.714	0	83	4
Time	0.00773	0.00811	0.00899	0.00915	0	83	4
Dist	1559.430	1559.430	1559.430	1559.430	0	84	2
Time	0.00806	0.00804	0.00888	0.00948	0	84	2
Dist	1559.430	1559.430	1559.430	1559.430	0	84	3
Time	0.00813	0.00772	0.00899	0.00952	0	84	3
Dist	1559.430	1559.430	1559.430	1559.430	0	84	4
Time	0.00824	0.00756	0.00888	0.00909	0	84	4
Dist	2612.988	2612.988	2612.988	2612.988	0	85	2
Time	0.00827	0.00787	0.00902	0.00930	0	85	2
Dist	2612.988	2612.988	2612.988	2612.988	0	85	3
Time	0.00825	0.00838	0.00897	0.00943	0	85	3
Dist	2612.988	2612.988	2612.988	2612.988	0	85	4
Time	0.00808	0.00863	0.00906	0.00928	0	85	4
Dist	1751.924	1751.924	1751.924	1751.924	0	86	2
Time	0.00818	0.00820	0.00907	0.00940	0	86	2
Dist	1751.924	1751.924	1751.924	1751.924	0	86	3
Time	0.00842	0.00794	0.00892	0.00913	0	86	3
Dist	1751.924	1751.924	1751.924	1751.924	0	86	4
Time	0.00818	0.00813	0.00933	0.00910	0	86	4
Dist	1071.617	1071.617	1071.617	1071.617	0	87	2
Time	0.00819	0.00835	0.00936	0.00947	0	87	2
Dist	1071.617	1071.617	1071.617	1071.617	0	87	3
Time	0.00820	0.00819	0.00923	0.00926	0	87	3
Dist	1071.617	1071.617	1071.617	1071.617	0	87	4
Time	0.00823	0.00793	0.00943	0.00920	0	87	4
Dist	1652.752	1652.752	1652.752	1652.752	0	88	2
Time	0.00784	0.00812	0.00880	0.00950	0	88	2
Dist	1652.752	1652.752	1652.752	1652.752	0	88	3
Time	0.00813	0.00858	0.00918	0.00909	0	88	3
Dist	1652.752	1652.752	1652.752	1652.752	0	88	4
Time	0.00808	0.00750	0.00895	0.00927	0	88	4
Dist	1809.854	1809.854	1809.854	1809.854	0	89	2
Time	0.00807	0.00795	0.00879	0.00923	0	89	2
Dist	1809.854	1809.854	1809.854	1809.854	0	89	3
Time	0.00783	0.00810	0.00878	0.00929	0	89	3
Dist	1809.854	1809.854	1809.854	1809.854	0	89	4
Time	0.00798	0.00814	0.00923	0.00923	0	89	4
Dist	1420.000	1420.000	1420.000	1420.000	0	90	2
Time	0.00812	0.00765	0.00899	0.00909	0	90	2
Dist	1420.000	1420.000	1420.000	1420.000	0	90	3
Time	0.00822	0.00851	0.00949	0.00919	0	90	3
Dist	1420.000	1420.000	1420.000	1420.000	0	90	4
Time	0.00820	0.00814	0.00932	0.00926	0	90	4
Dist	1774.641	1774.641	1774.641	1774.641	0	91	2
Time	0.00843	0.00845	0.00916	0.00955	0	91	2
Dist	1774.641	1774.641	1774.641	1774.641	0	91	3
Time	0.00817	0.00810	0.00911	0.00919	0	91	3
Dist	1774.641	1774.641	1774.641	1774.641	0	91	4
Time	0.00775	0.00795	0.00915	0.00914	0	91	4
Dist	1685.297	1685.297	1685.297	1685.297	0	92	2
Time	0.00813	0.00818	0.00905	0.00928	0	92	2
Dist	1685.297	1685.297	1685.297	1685.297	0	92	3
Time	0.00798	0.00816	0.00928	0.00920	0	92	3
Dist	1685.297	1685.297	1685.297	1685.297	0	92	4
Time	0.00829	0.00847	0.00916	0.00932	0	92	4
Dist	2198.232	2198.232	2198.232	2198.232	0	93	2
Time	0.00857	0.00822	0.00909	0.00911	0	93	2
Dist	2198.232	2198.232	2198.232	2198.232	0	93	3
Time	0.00824	0.00805	0.00906	0.00939	0	93	3
Dist	2198.232	2198.232	2198.232	2198.232	0	93	4
Time	0.00792	0.00837	0.00895	0.00922	0	93	4
Dist	2199.704	2199.704	2199.704	2199.704	0	94	2
Time	0.00823	0.00880	0.00927	0.00961	0	94	2
Dist	2199.704	2199.704	2199.704	2199.704	0	94	3
Time	0.00806	0.00817	0.00890	0.00936	0	94	3
Dist	2199.704	2199.704	2199.704	2199.704	0	94	4
Time	0.00799	0.00767	0.00894	0.00904	0	94	4
Dist	2468.680	2468.680	2468.680	2468.680	0	95	2
Time	0.00806	0.00799	0.00886	0.00928	0	95	2
Dist	2468.680	2468.680	2468.680	2468.680	0	95	3
Time	0.00786	0.00794	0.00882	0.00911	0	95	3
Dist	2468.680	2468.680	2468.680	2468.680	0	95	4
Time	0.00758	0.00795	0.00886	0.00923	0	95	4
Dist	2432.881	2432.881	2432.881	2432.881	0	96	2
Time	0.00824	0.00825	0.00918	0.00932	0	96	2
Dist	2432.881	2432.881	2432.881	2432.881	0	96	3
Time	0.00778	0.00818	0.00882	0.00912	0	96	3
Dist	2432.881	2432.881	2432.881	2432.881	0	96	4
Time	0.00792	0.00793	0.00878	0.00925	0	96	4
Dist	1506.685	1506.685	1506.685	1506.685	0	97	2
Time	0.00816	0.00788	0.00904	0.00936	0	97	2
Dist	1506.685	1506.685	1506.685	1506.685	0	97	3
Time	0.00840	0.00795	0.00887	0.00910	0	97	3
Dist	1506.685	1506.685	1506.685	1506.685	0	97	4
Time	0.00828	0.00842	0.00915	0.00916	0	97	4
Dist	1721.427	1721.427	1721.427	1721.427	0	98	2
Time	0.00816	0.00815	0.00909	0.00934	0	98	2
Dist	1721.427	1721.427	1721.427	1721.427	0	98	3
Time	0.00778	0.00795	0.00907	0.00915	0	98	3
Dist	1721.427	1721.427	1721.427	1721.427	0	98	4
Time	0.00782	0.00846	0.00889	0.00905	0	98	4
Dist	1750.173	1750.173	1750.173	1750.173	0	99	2
Time	0.00792	0.00771	0.00886	0.00908	0	99	2
Dist	1750.173	1750.173	1750.173	1750.173	0	99	3
Time	0.00858	0.00817	0.00907	0.00906	0	99	3
Dist	1750.173	1750.173	1750.173	1750.173	0	99	4
Time	0.00816	0.00783	0.00908	0.00935	0	99	4
Dist	2136.603	2136.603	2136.603	2136.603	0	100	2
Time	0.00841	0.00839	0.00909	0.00925	0	100	2
Dist	2136.603	2136.603	2136.603	2136.603	0	100	3
Time	0.00771	0.00793	0.00897	0.00914	0	100	3
Dist	2136.603	2136.603	2136.603	2136.603	0	100	4
Time	0.00785	0.00822	0.00895	0.00884	0	100	4
